Section,Number,Title,Description,Windows Shortcut,Mac Shortcut
Framework,1,CSI-FBI,"Context, Specific, Instruction, +Format, Blueprint, Identity",,
Framework,2,AIDA,"Attention, Interest, Desire, Action",,
Framework,3,CARC,"Context, Action, Result, Example",,
Framework,4,TAB,"Task, Action, Goal",,
Framework,5,RTF,"Role, Task, Format",,
Framework,6,PAS,"Problem, Agitate, Solution",,
Framework,7,RISEN,"Role, Instructions, Steps, End Goal, Narrowing",,
Framework,8,SNAKE (to get the best Python code),"Spotify (file type). Notebook (Colab. Jupyter). Action. Key-data. Structure",,
Framework,9,STAR,"Situation, Task, Action, Result",,
Framework,10,CRISPE,"Capacity, Rule, Insight, Statement, Personality, Experiment",,
Framework,11,APE,"Action, Purpose, Expectation",,
Framework,12,BAB,"Before, After, Bridge",,
Framework,13,SWOT,"Strengths, Weaknesses, Opportunities, Threats",,
Framework,14,RICE,"Reach, Impact, Confidence, Effort",,
Framework,15,OKR,"Objectives and Key Results",,
Framework,16,PESTLE,"Political, Economic, Social, Technological, Legal, Environmental",,
Framework,17,MOSCOW,"Must-have, Should-have, Could-have, Won't-have",,
Framework,18,ABCDE,"Assess, Brainstorm, Create, Develop, Execute",,
Framework,19,DMAIC,"Define, Measure, Analyze, Improve, Control",,
Framework,20,CARR,"Challenge, Action, Results, Reflection",,
Framework,21,PPP,"Progress, Plans, Problems",,
Framework,22,SMART,"Specific, Measurable, Achievable, Relevant, Time-bound",,
Framework,23,4P's,"Product, Price, Place, Promotion",,
Framework,24,RODES,"Role, Objective, Details, Examples, Sense Check",,
Framework,25,IRDA,"Instructions, Recursion, Benchmark, Additional Guidelines",,
Shortcuts,26,Open new chat,,Ctrl + Shift + B,Cmd + Shift + B
Shortcuts,27,Place cursor in chat input,,Ctrl + Shift + T,Cmd + Shift + T
Shortcuts,28,Copy last code block,,Ctrl + Shift + ,,Cmd + Shift + ,
Shortcuts,29,Copy last response,,Ctrl + Shift + C,Cmd + Shift + C
Shortcuts,30,Set custom instructions,,Ctrl + Shift + O,Cmd + Shift + O
Shortcuts,31,Toggle sidebar,,Ctrl + /,Cmd + /
